sample_id,record_id,sentence_index,thread_title,parent_context,sentence_text,human_has_quad,human_aspect,human_opinion,human_category_label,human_sentiment_label,human_quads_json,annotator
SAMPLE_0098,ocpwouc,3,You can do a lot with an old mobile gpu these days,"You can remove latency by switching to something like KittenTTS and Qwen3.5B. Quality drops, but then it would much better speeds.",Tryna build C3PO,,,,,,,annotator_2
SAMPLE_0127,nju6zeq,3,Nvidia dgx spark a nonsponsored review strix halo,Great video. So Strix vs Spark is essentially the same for inference wrt speed. Would be interested to see how each compares with a large initial prompt/large context,"so it's basically about even now btw, matches about where it should be based on MBW)",,,,,,,annotator_2
SAMPLE_0208,nk189xd,0,Seeking for a uncensored nsfw dutch language,,"I found that one: geitje-7b-chat or geitje-7b-ultra, both in GGuf formats and both are in Dutch language.",,,,,,,annotator_2
SAMPLE_0106,odbudzo,0,Running my own llm as a beginner quick check on,,"The 3B model for daily tasks and 9B for deeper work makes sense, though you'll hit the speed wall on cpu-only inference pretty quick once you're actually using them.",,,,,,,annotator_2
SAMPLE_0182,mz18f8h,0,From archfunction to archagent designed for fast,,"If you do, I’ll spend my own money to train a German Qwen or Mistral-Small based agent LLM so that German devs can finally catch up! 💪",,,,,,,annotator_2
SAMPLE_0118,o9ubx40,0,Deepseek v4 why no nvidia required actually,,The point is that V4 supposedly isn’t tightly tied to CUDA/NVIDIA.,,,,,,,annotator_2
SAMPLE_0251,o45obbb,0,Release experimental model with subquadratic,"Noted, one of the next steps for us is to perform a comprehensive evaluation and context [arena.ai]( is definitely considered. In terms of context length, we chose Nemotron 3 Nano 30B because of its efficient KV cache implementation. Right now it is about 6GB per 1M tokens.",I'll try to test it on [familybench]( a long context reasoning benchmark,,,,,,,annotator_2
SAMPLE_0153,oabwzwd,0,Suggestions for inline suggestions like,,"I don't think autocomplete is annoying, but the trade-off there is that the auto-complete models are geared for speed, but are not smart.",,,,,,,annotator_2
SAMPLE_0179,mvmqwyn,0,Smallest llm you tried thats legit,,There are some caveats of course I'm kinda tempted to try it and see if input/output really do match over a large file,,,,,,,annotator_2
SAMPLE_0141,o5uq6mn,0,Qwen 35 goes bankrupt on vendingbench 2,At this point. They should just concede and do what their best at now. Image and video models. GLM clearly have it in the bag for LLM but especially video models there's nothing even remotely close to sora2 or seedance2 for open weights.,"It seems like the delta gated linear attention component is affecting the performance noticeably, because qwen 3 vl didn't have this...",,,,,,,annotator_2
SAMPLE_0018,myrxih1,5,Mac studio m3 ultra 256gb vs 1x 5090,I have run r1 with exl1.6 locally and full fidelity online. You are really mistaken in your requirements. What is need to replace online with local 1. Cost for coding. I can tell you are not a coder 2. RP etc. You can either jailbreak online or dense 32b local models also work,"Tell me what I should do instead, if you're really such a genius?",,,,,,,annotator_2
SAMPLE_0266,nl4bqcz,0,Is openai afraid of kimi,,I suspect that they train on a lot of copyrighted books to have such good creative writing skills.,,,,,,,annotator_2
SAMPLE_0243,n7hqsor,1,Gpt 5 pricing,Oh wow gpt-5 mini is cheaper than gemini 2.5 flash (but less context window ofc). I wonder how good it is compared to flash.,If it has ANY reasonable intelligence and speed it will be great for just throwing any random task at it,,,,,,,annotator_2
SAMPLE_0088,nvsslqa,5,Deepseek will release a larger model next year,,There’s a lot more training to be done.,,,,,,,annotator_2
SAMPLE_0024,nye71vk,1,Ai21 labs releases jamba2,"Can we fine tune this architecture? Do you know if frameworks like TRL, etc. are compatible with them?",However you can fine-tune jamba using transformers and pytorch.,,,,,,,annotator_2
SAMPLE_0097,obk76k3,0,Llamacpps new parser breaks tons of models its,meh I don't mind posts like these because im not staying in the loop of llama.cpp changes even though I pull latest daily. what are people doing to stay on top of things? the releases notes are fairly sparse. but yeah you need to relax. just use an older version and wait for the fix or patch it as you did.,The documentation sucks and when you raise it with them they’re very snappy.,,,,,,,annotator_2
SAMPLE_0176,ndhux88,1,Macbook pro m3 max 128 vs ai rig 4x3090,"just wait for the m5 max, it will have 4x matmul acceleration ie tensor cores, so prompt and image processing will get a lot faster. Or buy your own rtx 3090s and build your 4x 3090 rig plus extra ram yourself, it will be a lot cheaper",For M5 it seems short to me,,,,,,,annotator_2
SAMPLE_0154,odzqf1l,0,Gemma 4 and qwen35 on shared benchmarks,,Can you imagine being the guy who fired the guy who beat Google at Gemma 4?,,,,,,,annotator_2
SAMPLE_0244,oakvyvp,1,Qwen3 tts in c with 17b support speaker encoding,"man, i really wish there were more mature support for TTS models like there are for mainline LLMs with software like llama.cpp like it would be so nice to be able to convert any LLM into a active, highly intelligent, voice assistant.",The 1.7B support is also queued up.,,,,,,,annotator_2
SAMPLE_0191,obname8,2,Qwen wants you to know,"Qwen is good, but it's not that outstanding. I have the strong suspicion this sub is heavily targeted by Qwens marketing department, or China's foreign affairs strategic influencers.","While I can say Qwen Image Edit is better and easier to use than flux1-kontext, flux1-dev blows Qwen Image out of the water.",,,,,,,annotator_2
SAMPLE_0131,o8a2dmm,0,Is Qwen3.5-9B enough for Agentic Coding?,,"You can use the rocm version instead of cuda, it should be as fast.",,,,,,,annotator_2
SAMPLE_0152,o5lrj7q,0,Inclusionailing251t hugging face,,Holy cow Ling is A63B ?!,,,,,,,annotator_2
SAMPLE_0200,o7v9ifc,0,are you ready for small Qwens?,,So you know how opencode compares to codex with qwen?,,,,,,,annotator_2
SAMPLE_0014,nu7fki0,0,Im strong enough to admit that this bugs the hell,"Standard M5 chips have added matmul acceleration, which significantly speeds up the prompt processing. You'd have to look for posts actually benchmarking M4 vs M5, but it was pretty impressive. Actual token generation should be sped up as well, but prompt processing will be multiple times more efficient now",M5 is 4 times faster than M4 at prompt processing.,,,,,,,annotator_2
SAMPLE_0228,n3krf8f,2,Local model recommendations for 5070 ti 16gb vram,,You can use Qwen3-14B-AWQ if you want to support a small batch of concurrency requests.,,,,,,,annotator_2
SAMPLE_0121,oe5ebzr,4,Qwen3527b or 122bpro6000,"I run 2x Pro 6000, and I prefer the 122b-a10b (fp8) slightly over the 27b (BF16). However, it may not be worth it at a lower quant. 122b FP8: I get around 120tg/s on single user requests, 1500 to 2500 tg/s at high concurrency. I use vllm.","Beginning to also lean towards the 122b for ""close enough"" accuracy and measurably faster PP and TG.",,,,,,,annotator_2
SAMPLE_0231,n2rnbo4,1,Best setup for 20 tokenssec deepseek r1 671b q8 w,I feel like everything is so expensive but I know it will be super cheap in the future. It's like paying 200$ for 2 MB of RAM in the 90s but early stage AI,RTX Quadro 8000 with 48GB price is still absurd just because VRAM and it was released on 2018.,,,,,,,annotator_2
SAMPLE_0085,ocrda2h,0,Judge blocks pentagons effort to punish anthropic,,I’m not saying I want a government using AI to do military actions… I’m saying Anthropic deserves to get burnt by the government they want to leverage to burn all local models.,,,,,,,annotator_2
SAMPLE_0031,nu5l57u,0,Alibaba tongyi open sources two audio models,,"Good stuff, more work is always nice.",,,,,,,annotator_2
SAMPLE_0290,nh2p0tr,1,Amd tested 20 local models for coding only 2,"Using via iflow deepseek (v 3.1) is pretty good for me in coding tasks, followed by qwen. Is the ""local"" bit significant here?","though it's really about ""how big is this model when you quantize it?""",,,,,,,annotator_2
SAMPLE_0238,nffb8hz,1,4x mi50 32gb reach 22 ts with qwen3 235ba22b and,,Unless above 20gb gpu ram I would not be surprised by your results.,,,,,,,annotator_2
SAMPLE_0261,n6g904f,1,Heads up to those that downloaded qwen3 coder,"If it's only a template issue, don't redownload the whole model. Edit the GGUF metadata. There is a literal gguf_editor_gui.py in llama.cpp in case you didn't know.","And if you don't have the llama.cpp source downloaded or want an easy way to install the PySide dependency, you can install gguf-editor-gui from PyPi:",,,,,,,annotator_2
SAMPLE_0034,nnfwtl5,0,How to run glm 45 air more faster,,Thanks man.. what about the ryzen machine?,,,,,,,annotator_2
SAMPLE_0205,o8tglgl,0,Qwen 3.5 27b: a testament to the transformer architecture,"nice, I'm curious, how much RAM it consume when you run this model? and how much token/s when you run on full CPU mode?",You can use this calculator to measure the usage of ram depending of the model configuration you want,,,,,,,annotator_2
SAMPLE_0217,nfz74fb,0,The ryzen ai max 395 is a true unicorn in a good,,"I don't have the hardware to try it myself yet, but it should be possible to run Qwen 3",,,,,,,annotator_2
SAMPLE_0163,o8d3iam,0,Visualizing All Qwen 3.5 vs Qwen 3 Benchmarks,,The fact that models of such different sizes are so close to each other in benchmarks points to an elephant in the room - training dataset contamination.,,,,,,,annotator_2
SAMPLE_0105,nkgnph4,0,What are your rlocalllama hottakes,,"For work, dedicated inference on static models mean our evals are more consistent, and we don’t see model performance shift over time as commercial models are deprecated.",,,,,,,annotator_2
SAMPLE_0056,nur4rt4,1,Googles gemma models family,,We already have smart big models.,,,,,,,annotator_2
SAMPLE_0171,n7xo46y,0,Qwen code as a main tool,,I was just convinced to switch from OpenAI to Claude… I was evaluating Qwen but ultimately decided on Claude code because I had a better feeling on it vs Qwen + Roo.,,,,,,,annotator_2
SAMPLE_0104,nvkhp44,5,Ama with zai the lab behind glm47,,Their model is really not good.,,,,,,,annotator_2
SAMPLE_0252,ndti24v,1,New ernie x11 what may be the best chinese model,"With a few cultural differences, musical concepts are largely universal across the world. Chinese music system is not much different from Western one, according to both Kimi, GPT-5 and Wikipedia.","Different intonation systems, for one.",,,,,,,annotator_2
SAMPLE_0092,nlp33zv,2,Was excited to try minimaxm2 but yeah its,,I thought we lost long ago.,,,,,,,annotator_2
SAMPLE_0073,oedxnyn,1,Gemma 4 31b beats several frontier models on the,"So when they download the pirated version of RDR2, they make Claude ride horses?","Have the models watch movies, ride a bike, invite your wife for dinner, etc",,,,,,,annotator_2
SAMPLE_0100,o87nvi8,4,Introducing fasterqwentts,,And the least I can do is star it on github.,,,,,,,annotator_2
SAMPLE_0162,nubdlr7,0,Alibaba tongyi open sources two audio models,,Some skillful folks will provide efficient inference code at some point if the model is good.,,,,,,,annotator_2
SAMPLE_0197,ndygxf9,1,Lightweight multilingual ocr with high accuracy,,Gemini 2.5 mini was on par but GPT4.1-mini beat them all.,,,,,,,annotator_2
SAMPLE_0280,n6fi01h,0,Help i have an rtx 5090 can i realistically,,Qwen has a mixture of experts 30B coding model that was just released.,,,,,,,annotator_2
SAMPLE_0132,njp2etr,0,Gptoss20b take the wheel,"Basically, yes. I’m literally giving it a big prefix prompt, current game state (and time) its latency state, and asking it to output one token (the next control input).","Theoretically speaking, except for the last frame's worth of rock advancements, the prompt should be cached.",,,,,,,annotator_2
SAMPLE_0192,n60bniw,0,Bye bye meta ai it was good while it lasted,"I mean credit where credit's due.. OpenAI might've invented the ball, but LLaMA got the ball rolling.. it kinda sucks to see this announcement.",">First place won't be the same without second place, ykno?",,,,,,,annotator_2
SAMPLE_0225,o4aap4e,1,Jetson orin nano super as a dedicated ai agent,,For running local models you can fit smaller ones - 7B quantized models work fine with the 8GB unified memory.,,,,,,,annotator_2
SAMPLE_0161,n8af6zv,0,I built a private ai minicluster with framework,"His setup is weird and TOTALLY inefficient. For llama.cpp RPC to properly work all the nodes in parallel and not one at the time, needs to do tensor splitting. Otherwise vLLM or ExLlamaV2 are better to do this job.",Yes exactly.,,,,,,,annotator_2
SAMPLE_0053,n62cuxn,1,Qwen3 coder 30ba3b tomorrow,,Well I tested 30BA3B for one prompt and then deleted it and went back to 4.5 Air.,,,,,,,annotator_2
SAMPLE_0003,mxzc9r0,0,Mistralsmall useless when running locally,,So what are you running?,,,,,,,annotator_2
SAMPLE_0293,nb3pvma,0,Running glm 45 2 bit quant on 80gb vram and 128gb,,Using ik\_llama.cpp should work better for CPU+GPU inference.,,,,,,,annotator_2
SAMPLE_0221,mxr1ysl,0,Qwen3 235b running faster than 70b models on a,,"It’s on the list, but I can’t run full size 235B, so I need a quant that’ll fit into 193GB VRAM.",,,,,,,annotator_2
SAMPLE_0285,njsknlr,0,Qwen330ba3b fp8 on rtx pro 6000 blackwell with,,"You need to go read up on LACT immediately brother, and then apply the below config.",,,,,,,annotator_2
SAMPLE_0010,n4ervln,3,How much raw power do i need to use mistrals,"5070 TI has 16gb of VRAM, not 4GB. At Q4K should be roughly 12GB to run the model leaving 4GB for context which is pretty tight. It probably looped because your context size was too low--I think ollama by default gives you 4096 context? For your use-case I'd recommend Qwen3 30BA3 with 40k context offloading most of it to CPU. Maybe (maybe not) a little worse at coding, but you'll get way better tok/s and context length",Or smaller?,,,,,,,annotator_2
SAMPLE_0281,n2gxn5g,0,Grok 4 on fictionlivebench long context,,Didn't he say something like Grok 5 should be ready in 7 more weeks?,,,,,,,annotator_2
SAMPLE_0083,nmygn9y,3,Cant get any llm to work with vs code,"yeah my rigs not running anything higher than qwen2,5 7b, i downloaded a version of qwen3 coder when i first started but the ram it required was a whole lot more than what i had. i had to dumb it down quite a big im using qwen2.5 3b now. also is a cofig the exact model im using?","Personally, I would always advise against Ollama.",,,,,,,annotator_2
SAMPLE_0001,o0zcf94,2,768gb fully enclosed 10x gpu mobile ai build,"Not OP but i.e. DeepSeek V3 0324/R1 0528 or Kimi K2 are better at Q2\_K\_XL vs i.e. 70B models at Q6, based on my tests at least. You still want prob IQ3 as min.",I don't think L or XL are available for the model I've been using.,,,,,,,annotator_2
SAMPLE_0143,n2c5bes,0,Grok 4 benchmarks,,Grok is the fastest AI in the world!,,,,,,,annotator_2
SAMPLE_0114,nxsp7we,2,Llamacpp running on android with snapdragon 888,,Around 1000 tokens the tg drops to \~28.,,,,,,,annotator_2
SAMPLE_0037,o8f2cnl,0,Is Qwen3.5-9B enough for Agentic Coding?,Bei mir reagiert qwen3.5:9b nur so: Overthinking für simple Aufgaben. Und bei qwen3.5:4b sieht es genau so aus... :(,Oh i see.,,,,,,,annotator_2
SAMPLE_0119,nox3xez,0,Can i get better performance out of my system for,,"For example, gpt-oos20_glm_4.6_distill with 100t/s and GLM-4.6 335b with few tokens per second.",,,,,,,annotator_2
SAMPLE_0235,nl4hbn6,0,Is openai afraid of kimi,"I suspect that they train on a lot of copyrighted books to have such good creative writing skills. Meta tried to do the same with Llama 4, but they couldn't because of the American laws. Honestly,creative writing seems to be for new the only skill chinese models outperform american ones because of the self-imposed limits.","> Meta tried to do the same with Llama 4, but they couldn't because of the American laws.",,,,,,,annotator_2
SAMPLE_0274,nojzxxu,2,Live vlm webui web interface for ollama vision,,We can absolutely do the same for PC - a CPU-only image based on python:3.10-slim instead of nvidia/cuda.,,,,,,,annotator_2
SAMPLE_0103,o3lati1,2,Kimi k25 set a new record among openweight models,,"It beat deepseek in many of my benchmarks, it's just that it thinks forever and in top of that, is not a particularly fast model, so it was very hard to run.",,,,,,,annotator_2
SAMPLE_0275,o819d5t,2,Is there a way to disable thinking on Qwen 3.5 27b in LM Studio?,,"so, sorry if this is a dumb question",,,,,,,annotator_2
SAMPLE_0032,nlsu7vu,1,Bad news dgx spark may have only half the,,"For those interested in llama.cpp inference, here's a doc I generated that should give an overview of operations/precisions (along w/ MAC %s) that should be useful at least as a good starting point:",,,,,,,annotator_2
SAMPLE_0273,nd3yr5a,1,Qwen released api only qwen3asr the allinone,,"I wonder if they have built-in diarization, that would be the cherry on the cake.",,,,,,,annotator_2
SAMPLE_0099,nbm4j21,4,Upgraded to an rtx 3090 what are the best models,,ByteDance-Seed/Seed-OSS-36B-Instruct * Qwen3-30B-A3B-Instruct-2507 * Qwen3-32B Enjoy the new 3090!,,,,,,,annotator_2
SAMPLE_0079,n4x6u8s,0,Sooooo when qwen3coder freedom edition gguf,,Lol don't count on it.,,,,,,,annotator_2
SAMPLE_0087,nai0dxw,0,Elmo is providing,You should reconsider your life choices when you start to simp for a billionaire.,I have Grok 2 in my hands right now and in 6 months I will have Grok 3.,,,,,,,annotator_2
SAMPLE_0256,nzd71l2,0,Your favorite linux distro for local genai what,,Pikaos with llama.cpp and ggml Debs back ported from Debian sid.,,,,,,,annotator_2
SAMPLE_0188,nn9jtui,1,Glm 46 air is coming,"GLM Air 4.5 is already a far better coder than MiniMax M2 in my experience. MMM2 couldn't even write code that passed a syntax check after a few attempts, whereas the latest GLMs generally put out really solid code.",In mine M2 performs better for JS projects in a novel environment no model is trained well on.,,,,,,,annotator_2
SAMPLE_0278,o71akhr,0,Distillation when you do it training when we do it,,I distill claude for style fine tuning often.,,,,,,,annotator_2
SAMPLE_0241,nvv7k1d,2,So nvidia is buying groq,"True, but eventually the users of these products would need to justify their costs. Nvidia can be very dominant, but if there are no buyers for AI downstream, it doesn't really matter what price tag NVIDIA puts on their chips, because companies will slowly decrease their spending. It's a shame that popular sentiment doesn't see AI's unit economics. Their margins arent as SAAS products.",Enterprises will keep on paying no matter the price at this point.,,,,,,,annotator_2
SAMPLE_0006,naz41uq,0,Running glm 45 2 bit quant on 80gb vram and 128gb,,Ram speed - 3600 Mhz Mine is x570 board.,,,,,,,annotator_2
SAMPLE_0091,odl58d0,0,Claude code source code has been leaked via a map,,Yeah no it’s just the wrapper client they developed.,,,,,,,annotator_2
SAMPLE_0071,oa0guc6,4,What is hunter alpha,"It willingly and openly criticizes the Chinese government so I’m skeptical about it being a Chinese model for that reason alone. Hopefully it’s an open model at least, I’d be disappointed if it was grok",It needs to be more like im talking to a smart professor and asking questions than asking a 4 year old info,,,,,,,annotator_2
SAMPLE_0135,oaupq0p,2,Mistral small 4 pr on transformers,"Theyre only the best price/performance if you're a business with a $20,000 server that can actually fit the thing into vram",but that's it.,,,,,,,annotator_2
SAMPLE_0229,o9tu8j8,3,Mistral nemo upscale but kinda weird,,I am afraid a 33Gb dense model won't fit in my poor 16Gb 5070Ti.,,,,,,,annotator_2
SAMPLE_0109,nq5s4jd,0,Glm planning a 30billionparameter model release,"hey, nobody has to worry about anything you can run the GLM 4.6 on a 3090 right now today using the UD dynamic quants from unsloth move all the experts the CPU. It will work pretty good, 6.9tk/sec gen",Air and Mini models will work better than cpu offloaded pruned iq1_m quant :D,,,,,,,annotator_2
SAMPLE_0113,nozt6a3,0,I have a friend who as 21 3060tis from his mining,,"I cant find it now, but there was a guy in this sub trying to use many 8GB cards - each card adds additional VRAM overhead and it just didnt scale above 4-6 GPUs.",,,,,,,annotator_2
SAMPLE_0011,o372vle,2,Pairl a protocol for efficient agent,"your whole repo is AI-hallucinated crap. I'm sorry to disappoint you but a 25k token system prompt which boils down to a 4 word phrase ""pls do not hallucinate"" will not stop LLMs from hallucinating. **Message Integrity:** Verified ✓ Hash: your LLM just spews random text lol","But hey, that's fine.",,,,,,,annotator_2
SAMPLE_0041,o8dl59m,0,Qwen3.5 4B: overthinking to say hello.,,Thank you for understanding my point of view.,,,,,,,annotator_2
SAMPLE_0185,nvr1zk3,0,Unsloth glm 47 udq2 k xl or gptoss 120b,"How is MiniMax-M2-REAP? (I saw it is 76GB), I am sure I can run it on my dgx spark. how does it compare with oss-120b and qwen3-next-80b? (these are the only two models working for me)",I didn't have much luck with the reap variant I tried versus the original model at a smaller quant.,,,,,,,annotator_2
SAMPLE_0070,nv308m6,1,Why does opencode hallucinate mcp tool names,,Openwebui seems to work fine with ollama.,,,,,,,annotator_2
SAMPLE_0297,nmw7tgo,3,Why qwen is hot nerd,,Gemma 3 was trained on a very very high quality data compared to GPT 2.,,,,,,,annotator_2
SAMPLE_0218,negoob6,0,Llamacpp not getting my cpu ram,,why would you need to use system ram at all?,,,,,,,annotator_2
SAMPLE_0130,o9imfib,0,Qwen 35 prompt reprocessing speed up for vllm,"Do you have enough vllm args there? At any rate, I'll have to let my boss know. Have you tried vllm's mtp settings for qwen 3.5 yet?","No, Im running on an odd number of cards (thats why im pipeline parallel), MTP only works with tensor parallel (2,4,8 etc)",,,,,,,annotator_2
SAMPLE_0004,o6g7hd1,2,Gptoss120b on 2x rtx5090,"llama-bench with config above CUDA\_VISIBLE\_DEVICES=1,2 ./llama-bench -m /mnt/storage/ai-storage/models/reasoning/gpt-oss-120b/gpt-oss-120b-mxfp4-00001-of-00003.gguf -b 2048 -ub 2048 -t 12 -ngl 99 -ncmoe 12 -fa 1 -mmp 0 -ts 5/3",I wonder if that makes a difference...,,,,,,,annotator_2
SAMPLE_0240,o7ypoc8,0,are you ready for small Qwens?,,I would love a Qwen 3.5 24B to be able to using on my mac with 24GB or ram.,,,,,,,annotator_2
SAMPLE_0051,nsr6qrk,3,Concerning rapid rise of ai slop postslarping,"Someone said that modern LLM is Dunning-Kruger maximizer. I tend of align with that view because a few moments after the initial GPT-4 release, I had a guy who apparently attempted to attack (?) me on X (I did not realize for a while because I already muted him for his incomprehensible tweets) who claims to be he is now a professional lawyer, doctor, programmer and whatnot thanks to AI.",similar situations they usually start by arguing with people by spouting something incorrect then name drop the chatbot names if someone responds to them.,,,,,,,annotator_2
SAMPLE_0265,n71usrw,0,Qwen3 coder vs kimi k2 vs sonnet 4 coding,,I just tried qwen-code + llama.cpp (unsloth's last update seems to have fixed tool calls?) + 30B-A3B on a real task.,,,,,,,annotator_2
SAMPLE_0023,nrc4mt6,0,Deepseek unchained,,Yea question doesn’t make sense.,,,,,,,annotator_2
SAMPLE_0009,o649r31,2,Devstral small 2 24b qwen3 coder 30b coders for,"is devstral MoE? I thought Dense models were best for coding since it activates all the params. Hence why Qwen Code 32B, QwQ and such were good for coding since they were dense.",Source :,,,,,,,annotator_2
SAMPLE_0005,ncl6ngr,0,Are we about to get a new qwen model,,Yeah it's just now on the chat interface.,,,,,,,annotator_2
SAMPLE_0212,no4y4cm,0,Ama with moonshot ai the opensource frontier lab,,"I'm sure someone has asked this, but are you planning on providing multiple weights for the Kimi K2 model so we can start using it on things like oLlama?",,,,,,,annotator_2
SAMPLE_0165,o998xha,0,Reminder to be kind to your fellow rlocalllaman,,"I love this sub, but there are a couple of things I dislike: 1. intense hate for Mac and Ollama: NVidia + Llama.cpp is the only way.",,,,,,,annotator_2
SAMPLE_0282,od00rzy,1,Anyway to get close to gpt4o on a local model i,,"Ollama to manage the LLMs open-webui running in a docker container - This is the chat front end Tailscale to get secure remote access to your Mac Studio at home from your phone, laptop while abroad.",,,,,,,annotator_2
SAMPLE_0210,o854o01,2,How to run Qwen3.5 35B,"Yes, it's not a rocket science, just friendly local AI",how can I tweak the model to not hog that much memory,,,,,,,annotator_2
